Fighter,Elo Rating,Peak Elo,Record,Unbeaten Streak,Strength of Schedule
Daniel Sarafian,1173.5510589376333,1201.8743974347453,2-4-0,0,1209.5726500976323
Shane Roller,1173.3498912487375,1217.3027253990088,2-4-0,0,1214.12388859933
Eric Shelton,1173.312589372369,1200.0,2-4-0,0,1202.4465039261092
Mike Breeden,1173.293967852504,1200.0,1-3-0,1,1206.1765568690032
AJ Fletcher,1173.2866840760528,1200.0,1-3-0,0,1214.2146327248147
Carlos Hernandez,1173.283688351253,1216.0,3-5-0,0,1214.846017090826
TJ Brown,1173.26905682511,1201.6314009739187,3-5-0,0,1203.0184390739296
Ray Rodriguez,1173.260378908855,1200.0,0-2-0,0,1250.763668787633
Lucas Almeida,1173.2349686687326,1216.7376642992417,2-4-0,0,1218.1705450402562
Derrick Krantz,1173.1993418841148,1200.0,0-2-0,0,1251.4790149132223
Tresean Gore,1173.179706107262,1202.079609623719,2-4-0,0,1207.0078166075007
Isaac Vallie-Flagg,1173.1742369633457,1218.2242508430309,1-3-0,0,1229.977893898354
Bruna Brasil,1173.1694140989166,1203.602762888145,2-4-0,0,1212.1645669008901
Ryo Chonan,1173.16603583357,1204.095201337506,1-3-0,0,1223.405483542712
James Moontasri,1173.1466322688777,1202.8435136793692,2-4-0,0,1212.2525817035742
Dwight Grant,1173.13872868735,1219.0472761294502,3-5-0,0,1217.278004541942
Piotr Hallmann,1173.1353511644768,1217.5139396200696,2-4-0,0,1223.2138533975165
Molly McCann,1173.1210480627037,1242.693024446235,7-8-0,0,1195.6203531469766
Hatsu Hioki,1173.0605128588998,1231.560820025781,3-5-0,0,1219.166795770796
Papy Abedi,1172.9962929897413,1200.0,1-3-0,0,1213.8848762795917
Azat Maksum,1172.9613980500942,1215.619812582318,1-3-0,0,1227.1254479564511
Darrell Horcher,1172.9474390538476,1204.0313633564517,1-3-0,0,1222.5843175009054
Kuniyoshi Hironaka,1172.8705429890547,1203.5321816156104,1-3-0,0,1221.0194234578055
Lucio Linhares,1172.8193119596845,1200.0,0-2-0,0,1245.7031954561492
Daniel Barez,1172.7784582649329,1200.0,1-3-0,0,1218.2963035226203
Chris Wilson,1172.7565721054762,1205.1879794865256,1-3-0,0,1222.280801646523
Pat Barry,1172.6256925500613,1215.709368541412,5-7-0,0,1209.5058331345851
Leonardo Mafra,1172.6245433644904,1200.0,1-3-0,0,1210.7863365735204
Mark Choinski,1172.5728178594647,1200.0,0-2-0,0,1242.8439908735422
Guram Kutateladze,1172.5030346900169,1216.0,2-4-0,0,1215.5650921142612
Kevin Casey,1172.4696200059127,1201.91220057677,1-3-1,0,1214.7599089874707
Armen Petrosyan,1172.4058171686297,1232.5907936247675,3-5-0,0,1221.09823164828
Goran Reljic,1172.370497341774,1218.2221340758374,1-3-0,0,1225.5967619351543
Saparbeg Safarov,1172.303327214824,1200.0,1-3-0,0,1208.5632618451737
Jason Dent,1172.275305574314,1200.0,1-3-0,0,1207.766235575033
Felipe Colares,1172.2057635352733,1201.773277255878,2-4-0,0,1208.5732516495832
Mark Striegl,1172.1601803184892,1200.0,0-2-0,0,1238.127411693845
Koji Oishi,1172.148066538269,1200.0,0-2-0,0,1238.3411438416538
Christian Morecraft,1172.1152212055006,1201.503645465272,1-3-0,0,1216.0998695413844
Karl Roberson,1172.057050521915,1234.9498337864668,4-6-0,0,1219.1313710779345
Alvin Robinson,1172.0498017347873,1202.8681780809786,1-3-0,0,1216.168396164118
Carmelo Marrero,1172.0006060188111,1217.4053981959557,1-3-0,0,1223.2677430892402
Michael McBride,1171.8539564695707,1200.0,0-2-0,0,1236.139981512517
Brandon Thatch,1171.8171620228613,1231.959549453158,2-4-0,0,1223.5896897796263
Justin Levens,1171.7821203789154,1200.0,0-2-0,0,1235.1343877737852
Geane Herrera,1171.7679211683067,1201.5048402453097,1-3-0,0,1213.667705466693
Vanessa Melo,1171.725188446516,1200.0,1-3-0,1,1197.3143260801276
Sam Sicilia,1171.719376806248,1218.7700640884482,5-7-0,0,1205.2075498075067
Justin Eilers,1171.6918106968365,1216.6774602543458,1-3-0,0,1220.8891035053225
Eric McConico,1171.677605589772,1200.0,0-2-0,0,1232.687520853893
Don Shainis,1171.6530200827867,1200.0,0-2-0,0,1233.6068516041933
Alex Da Silva,1171.6354529178834,1200.0,1-3-0,0,1211.9572709916974
Justin Tafa,1171.6152703317875,1217.9192756613131,4-6-0,0,1200.7120360020908
Alex Nicholson,1171.6008311407122,1201.4387739660467,1-3-0,0,1212.8587992587043
Jason Gonzalez,1171.5999128226956,1200.0,1-3-0,0,1211.6634284992952
Yanis Ghemmouri,1171.5908660452249,1200.0,0-2-0,0,1231.902408378292
Elizabeth Phillips,1171.5699220064414,1200.0,1-3-0,0,1203.9925105761436
Austin Bashi,1171.5542457218266,1200.0,0-2-0,0,1231.5152794910564
Frankie Perez,1171.5289763825042,1201.0607523366086,1-3-0,0,1212.0689834504894
Chad Griggs,1171.4992061468665,1200.0,0-2-0,0,1231.3105672634174
