Fighter,Elo Rating,Peak Elo,Record,Unbeaten Streak,Strength of Schedule
David Terrell,1222.2715060157673,1222.2715060157673,2-1-0,1,1254.6656246242976
Ali Bagautinov,1222.2467622335184,1248.5845885374185,4-3-0,0,1246.605713137655
Mark Coleman,1222.1997071303438,1295.5440842629323,7-5-0,0,1228.7254393918513
Olivier Aubin-Mercier,1222.1513645106459,1275.9305763996956,7-5-0,0,1211.4606675367847
Miles Johns,1221.9920229343782,1256.634803072981,6-4-0,0,1202.2244111497037
Gabriel Santos,1221.6167759317887,1221.6167759317887,3-2-0,3,1214.486538776757
Chad Laprise,1221.2250385045922,1258.1448638971992,6-4-0,0,1207.639998377345
Nina Nunes,1221.1672301427764,1233.2661850631494,5-4-0,1,1213.4114418075133
Cody Garbrandt,1220.9667398143267,1296.009926069929,9-8-0,0,1258.9990554210524
Jeff Monson,1220.8467118164897,1234.7532867183359,4-3-0,0,1223.0760835591004
Marcus Davis,1220.7089577713782,1274.8484262239876,8-6-0,0,1219.7402200002177
Takeya Mizugaki,1220.6437917755186,1275.9509163540322,8-6-0,0,1214.7451886541855
Matt Schnell,1220.5406625206463,1236.8377656207954,8-7-0,2,1215.082405138952
Joanderson Brito,1220.355461959867,1267.423977014534,5-4-0,0,1237.1142280810468
Andrei Arlovski,1220.351833808775,1343.4207129910537,23-18-0,0,1227.376267456968
Iasmin Lucindo,1220.3034277749755,1249.748943231872,4-3-0,0,1230.1162103122872
Felipe Lima,1220.298261801317,1236.5792069069644,3-2-0,0,1240.8743205750436
Curtis Millender,1220.1235949153277,1250.9160002462577,3-2-0,0,1246.428508565958
Jacob Malkoun,1220.002202352266,1220.002202352266,4-3-0,1,1216.2999882741549
Rafael Natal,1219.872412767064,1271.3323304610656,9-7-1,0,1212.6512797687649
Themba Gorimbo,1219.8660735963415,1245.3874886211613,4-3-0,0,1226.931021107266
Davi Ramos,1219.6107479881389,1251.5743215462026,4-3-0,0,1231.0287216852253
Sergey Khandozhko,1219.4390109465876,1219.4390109465876,2-1-0,1,1231.654301981752
Mike Davis,1219.3398162993722,1248.5847631063343,4-3-0,0,1228.019718648002
Ed Herman,1219.1800732381112,1261.9505628491158,13-11-0,0,1214.6848557915123
Lucas Martins,1219.1459784502786,1233.7210122558733,4-3-0,1,1218.5759976196803
Alexis Davis,1219.1425021913508,1256.1416329003655,8-6-0,1,1207.381451735832
Douglas Silva de Andrade,1219.097710269947,1234.8168812584952,7-6-0,0,1216.2380469815837
Maurice Smith,1219.0803656991086,1236.7672685506857,4-3-0,0,1229.8344955268028
Adriano Martins,1218.9424676766732,1251.5400562138573,4-3-0,0,1232.8047855760701
Drew Fickett,1218.9121781508495,1218.9121781508495,4-3-0,1,1213.3519543839066
Saidyokub Kakhramonov,1218.855577233578,1233.4390300003097,2-1-0,0,1237.4413639981256
Gabe Green,1218.8384533946403,1218.8384533946403,4-3-0,2,1208.3493329774863
Karol Rosa,1218.8006418764176,1258.854625327654,7-5-0,0,1213.5650087045267
Kajan Johnson,1218.7468843679162,1247.5876796073726,4-3-0,0,1224.0487600057572
Patrick Cote,1218.5817533996847,1243.9886116177518,10-11-0,0,1227.7835671464668
Tyson Griffin,1218.5360020827256,1273.84285203262,8-6-0,0,1214.9990929199391
Caolan Loughran,1218.42531644577,1218.42531644577,3-2-0,2,1205.6173144135967
Bekzat Almakhan,1218.1897536157317,1218.1897536157317,2-1-0,2,1212.8859158021114
Jamall Emmers,1218.1532997693444,1218.1532997693444,5-4-0,2,1200.4415447055535
Maiquel Falcao,1218.0982942088476,1218.0982942088476,1-0-0,1,1245.8278203282016
Khalid Murtazaliev,1218.0716310057705,1218.0716310057705,1-0-0,1,1245.2388346727278
Thiago Alves,1218.0558734408883,1299.8532189679675,14-12-0,0,1241.6833851970796
Fatima Kline,1218.0511023449328,1218.0511023449328,2-1-0,2,1210.8928534033416
Joanne Wood,1218.0234745036337,1232.003170252025,9-8-0,2,1215.061233547498
Brendan Schaub,1218.0084504734627,1247.9053829685524,6-5-0,0,1225.1108705399581
Asu Almabayev,1217.95413034592,1248.8477748700966,3-2-0,0,1234.47829838376
Kenichi Yamamoto,1217.815917711437,1231.273922878587,2-1-0,0,1228.8013511072368
Timur Valiev,1217.7749469685223,1232.5811225754264,2-1-0,0,1221.3293261166345
Todd Duffee,1217.5921192526473,1232.640014090101,3-2-0,0,1214.493427781327
Wilson Reis,1217.4888219808024,1259.8243965338613,7-6-0,0,1229.3421506394263
Che Mills,1217.4765777971552,1217.4765777971552,2-1-0,1,1225.6444774246152
Jamey-Lyn Horth,1217.4384624430313,1217.4384624430313,4-3-0,1,1211.328081228426
Sanae Kikuta,1217.4037778232891,1217.4037778232891,1-0-0,1,1230.5612260339533
Sergey Morozov,1217.337107609181,1217.337107609181,3-2-0,2,1200.040432377133
Ian Freeman,1217.2287344472788,1234.0413050189861,3-2-1,1,1205.3306108467298
Carlos Vera,1217.1789812718132,1217.1789812718132,2-1-0,2,1204.3568818252822
Timothy Johnson,1217.1553272082258,1217.269358787824,4-3-0,1,1211.1281009449842
Mark Hall,1216.912644278956,1231.2342542326983,4-3-0,0,1218.6091924930731
Melissa Dixon,1216.7736751661162,1216.7736751661162,1-0-0,1,1216.813255073136
Lee Murray,1216.7701302323649,1216.7701302323649,1-0-0,1,1216.736098233806
Dmitry Sosnovskiy,1216.7577220927412,1216.7577220927412,1-0-0,1,1216.4660432684973
Ikuhisa Minowa,1216.736306793522,1216.736306793522,1-0-0,1,1216.0
Mark Schultz,1216.736306793522,1216.736306793522,1-0-0,1,1216.0
Leslie Smith,1216.7024665514848,1216.7024665514848,4-3-0,2,1195.5383618858561
Jonny Parsons,1216.6671644721398,1216.6671644721398,1-0-0,1,1214.4956975838388
Hermes Franca,1216.6565023094656,1248.0944356976163,6-5-0,0,1223.0870979321755
Assu Almabayev,1216.6525914336687,1216.6525914336687,1-0-0,1,1214.1787088755134
Javier Vazquez,1216.644600051608,1216.644600051608,1-0-0,1,1214.0048925886615
Scott Ferrozzo,1216.621401194414,1233.4230923320836,3-2-0,0,1209.9994961082703
Jose Ochoa,1216.6083709079257,1216.6083709079257,2-1-0,2,1199.5456703587008
Ozzy Diaz,1216.6040973467439,1216.6040973467439,2-1-0,2,1199.765844275825
Rongzhu,1216.6040973467439,1216.6040973467439,2-1-0,2,1199.765844275825
Steve Bosse,1216.5857649584532,1216.5857649584532,2-1-0,2,1199.3626080876345
Brian Foster,1216.4079847248618,1216.4079847248618,3-2-0,2,1195.365720777014
Augusto Sakai,1216.3950178660737,1261.424365573296,5-4-0,1,1228.4624560921563
Jonathan Pearce,1216.3937147573006,1267.1921022546708,5-4-0,0,1227.4744935730373
Magomed Mustafaev,1216.3897784772116,1233.1803170815983,3-2-0,0,1221.7137992851076
Wang Guan,1216.3678198722946,1216.3678198722946,1-0-0,1,1207.9885145047033
Carlos Felipe,1216.3006031723207,1231.3118115112593,3-2-0,0,1207.4404183001257
Ron Waterman,1216.1153374659855,1216.1153374659855,2-1-1,2,1195.6591118921226
Isaac Dulgarian,1216.0885195713581,1216.0885195713581,2-1-0,1,1206.2356129261457
Bob Cook,1216.0,1216.0,1-0-0,1,1200.0
Logan Clark,1216.0,1216.0,1-0-0,1,1200.0
Cesar Marscucci,1216.0,1216.0,1-0-0,1,1200.0
Enson Inoue,1216.0,1216.0,1-0-0,1,1200.0
Jonathan Wiezorek,1216.0,1216.0,1-0-0,1,1200.0
Aliaskhab Khizriev,1216.0,1216.0,1-0-0,1,1214.9943979115424
DongHun Choi,1216.0,1216.0,1-0-0,1,1200.0
Ben Earwood,1216.0,1216.0,1-0-0,1,1200.0
Sione Latu,1216.0,1216.0,1-0-0,1,1200.0
Mark Hughes,1216.0,1216.0,1-0-0,1,1200.0
Shi Ming,1216.0,1216.0,1-0-0,1,1200.0
Kazushi Sakuraba,1216.0,1216.0,1-0-0,1,1200.0
Justin Martin,1216.0,1216.0,1-0-0,1,1200.0
Tom Murphy,1216.0,1216.0,1-0-0,1,1200.0
Onassis Parungao,1216.0,1216.0,1-0-0,1,1200.0
Frank Hamaker,1216.0,1216.0,1-0-0,1,1200.0
Rafael Carino,1216.0,1216.0,1-0-0,1,1200.0
Jon Hess,1216.0,1216.0,1-0-0,1,1200.0
Marcelo Mello,1216.0,1216.0,1-0-0,1,1200.0
Scott Adams,1216.0,1216.0,1-0-0,1,1200.0
Yoshiki Takahashi,1216.0,1216.0,1-0-0,1,1200.0
Tulio Palhares,1216.0,1216.0,1-0-0,1,1200.0
Mikey Burnett,1215.9661669788793,1216.0,2-1-0,1,1205.3333333333333
Paul Sass,1215.964343641381,1247.5708572412043,3-2-0,0,1224.9239202232245
Ernesta Kareckaite,1215.9323408595199,1215.9323408595199,2-1-0,2,1194.421231068826
Brad Riddell,1215.9159119880496,1263.5545949412708,4-3-0,0,1233.691899187513
Ovince Saint Preux,1215.912184885241,1275.478962589098,15-13-0,0,1233.175292908221
Felipe Bunes,1215.8583563764776,1215.8583563764776,2-1-0,2,1194.5135798541248
Benardo Sopaj,1215.7433777904275,1215.7433777904275,2-1-0,2,1193.0172798008632
Aspen Ladd,1215.576068349621,1246.8411548354113,4-3-0,0,1227.4148043968692
Amanda Ribas,1215.5142947730596,1262.8715475630654,7-6-0,0,1241.6602930455463
Edgar Chairez,1215.3926975837803,1215.3926975837803,3-2-0,2,1183.0510220158023
Cody Haddon,1215.336427626798,1215.336427626798,1-0-0,1,1185.582438979786
Ebenezer Fontes Braga,1215.3326328283995,1215.3326328283995,1-0-0,1,1185.499893184618
Genki Sudo,1215.2976013366472,1216.0,2-1-0,1,1200.0
Johnny Rhodes,1215.2976013366472,1231.263693206478,2-1-0,0,1210.6666666666667
Klaudia Sygula,1215.2974822303288,1215.2974822303288,2-1-0,2,1189.3687074644631
Steve Nelmark,1215.2859190656254,1231.263693206478,2-1-0,0,1210.5821073053587
Mason Jones,1215.2781979857648,1215.2781979857648,3-2-0,2,1197.2912341087713
Eduarda Moura,1215.234914964537,1215.234914964537,2-1-0,1,1199.0547269427645
Steve Jennum,1215.233182908035,1231.9661669788793,2-1-0,0,1210.6794904729607
Tyrone Roberts,1215.2317145561142,1215.2317145561142,1-0-0,1,1183.3040536402038
Billy Goff,1215.2315601768207,1215.2315601768207,1-0-0,1,1183.3006935875683
Pedro Munhoz,1215.2183300784,1285.2324622726553,10-10-0,0,1253.4313434609833
Elves Brener,1215.202934010833,1247.8172621248668,3-2-0,0,1222.4908690098496
Ariane Carnelossi,1215.1797031761066,1215.1797031761066,3-2-0,1,1195.3394374429654
Serghei Spivac,1215.0275580831205,1270.7260910954083,8-8-0,0,1247.957643814941
Tom Lawlor,1214.9541226135048,1232.0675969275167,6-5-0,0,1209.2826176396325
Caio Magalhaes,1214.9408485899833,1246.8024644314783,4-3-0,0,1212.3958195465177
Andre Roberts,1214.8059820230765,1215.2959059908549,2-1-0,1,1195.761983886541
Brian Stann,1214.7928812711855,1248.6248344926914,6-5-0,0,1217.2072883540052
Michael Trizano,1214.7753813459126,1232.0,4-3-0,1,1211.8912895682527
Melissa Gatto,1214.774407573715,1231.1906934426063,3-2-0,1,1206.8900485189495
Mizuki,1214.62589810076,1214.62589810076,1-0-0,1,1170.0880716104707
Tom Duquesnoy,1214.6257343932132,1216.0676726427585,2-1-0,1,1195.401936107499
Abdul-Kerim Edilov,1214.5946887902642,1214.5946887902642,1-0-0,1,1169.4052183213828
Carli Judice,1214.5917370800503,1214.5917370800503,2-1-0,2,1183.7326252343325
Sodiq Yusuff,1214.5731340767136,1280.1564427499388,6-5-0,0,1242.3797740366351
Royston Wee,1214.5612260339533,1231.263693206478,2-1-0,0,1205.3333333333333
Ronnie Lawrence,1214.5428786376642,1231.2071310555827,2-1-0,0,1204.1087812134274
Daniel Zellhuber,1214.5338299260923,1231.1371252100373,3-2-0,0,1199.5525492263191
Matt Wiman,1214.5296419960298,1272.9401923685955,10-8-0,0,1214.1919808337502
Remco Pardoel,1214.5273864129558,1232.0,3-2-0,0,1212.6527386412956
Rodolfo Vieira,1214.4364695415845,1243.8859709450687,5-4-0,0,1218.5957169893127
Carlos Condit,1214.3475541488451,1271.021945488159,9-10-0,0,1268.7410585948173
Ronny Markes,1214.2240474659234,1249.9630869799128,3-2-0,0,1218.7283285592316
Tim Credeur,1214.2110543866193,1247.263693206478,3-2-0,0,1217.6137400355344
Mike Kyle,1214.1323617861565,1214.7196631041122,2-1-0,1,1190.712755336094
Juan Espino,1213.9602773233128,1229.8352212577904,2-1-0,0,1200.417744393384
Jake O'Brien,1213.9453882569312,1245.8278203282016,4-3-0,0,1217.6981940969854
Scott Holtzman,1213.9239623263209,1262.885084946146,7-6-0,0,1221.656445496472
Jennifer Maia,1213.898621246453,1230.6283200834876,6-6-0,0,1233.816231849203
Aisling Daly,1213.8632929573923,1216.0,2-1-0,1,1189.3446360433898
Tim Boetsch,1213.857353921141,1267.1333274901467,12-12-0,0,1240.3940851204525
Din Thomas,1213.822766891217,1248.043017144944,5-4-0,0,1206.4698070133695
Gavin Tucker,1213.6235357048267,1246.843850794117,4-3-0,0,1212.1389900502877
Luis Saldana,1213.4251835694438,1214.77672095745,2-1-1,2,1196.3507991234196
Paddy Holohan,1213.390550907592,1229.1809543239629,3-2-0,0,1200.4431746675864
Kiichi Kunimoto,1213.3334808402717,1246.002326949033,3-2-0,0,1213.0730423188957
Josh Samman,1213.30458676742,1248.6812665217712,3-2-0,0,1213.6585835897981
Adam Wieczorek,1213.2380769463089,1230.0760388241742,2-1-0,0,1194.6113859402185
Robert Peralta,1213.1097907154444,1244.6499411400118,4-3-0,0,1214.0444216637777
Mark Hunt,1213.0651065934942,1261.5502174642882,8-8-1,0,1246.3251757070186
Joaquim Silva,1212.973629767436,1246.5951029264966,6-5-0,0,1218.3059318513604
Aleksei Oleinik,1212.9412867653139,1261.0828674267002,9-8-0,0,1229.950700905616
Rich Attonito,1212.7502098833932,1231.263693206478,3-2-0,0,1204.1281081379757
Charles Jourdain,1212.6609218646388,1225.6043103331856,7-7-1,1,1218.799176900641
Bea Malecki,1212.6143435424522,1229.992110664545,2-1-0,0,1190.722722431158
Zachary Reese,1212.5012002380486,1216.0,3-2-0,1,1190.2635196282315
Alex Morono,1212.4350224962104,1294.8926189314682,13-10-0,0,1214.2464948412435
Gabriel Gonzaga,1212.2303179642101,1263.0097411669599,12-10-0,0,1217.9453582093802
Ryan Spann,1212.2064553918794,1275.0563085338026,8-7-0,0,1236.6372209187753
Juliana Miller,1212.0904394859408,1216.0,3-2-0,2,1181.3722383387208
Elias Silverio,1212.0213816159333,1246.7203563819414,3-2-0,0,1207.3702225714571
Paul Kelly,1211.9685143298848,1234.0770501378715,5-4-0,0,1208.2035020814624
Montana De La Rosa,1211.7814709282266,1247.2329634537978,6-5-1,1,1215.89948949584
Soa Palelei,1211.7592502687185,1232.0185709081534,4-3-0,0,1198.302604522715
Sumudaerji,1211.7034819180544,1229.1324011727806,5-4-0,2,1191.0567016327645
Vitor Petrino,1211.6346073369527,1259.9543073062277,4-3-0,0,1217.989702664816
Alatengheili,1211.5778518604566,1244.246448231969,5-4-1,0,1214.1177862875159
Ben Nguyen,1211.257441859727,1244.0645200804656,4-3-0,0,1208.6213732916824
Matt Serra,1211.2396554897216,1237.822377319986,7-7-0,0,1227.9606751042725
Brad Blackburn,1211.234437747938,1246.0075047447365,3-2-0,0,1203.6552684784233
Oban Elliott,1211.0763322573287,1245.5980292887634,3-2-0,0,1202.3980680415016
Dustin Hazelett,1210.8294143896494,1261.5890169702068,5-4-0,0,1221.234477710773
Alan Patrick,1210.7512761026387,1262.8004921177962,5-4-0,0,1215.4286365950982
Paige VanZant,1210.5969009390806,1246.5304984710244,5-4-0,0,1212.360989053862
Marlon Moraes,1210.3849915228966,1269.2865686057082,5-6-0,0,1286.1846611593012
Drew Dober,1210.368175918693,1281.323232527365,13-12-0,0,1220.699815094806
Yazmin Jauregui,1210.3174427964505,1229.7444098051226,3-2-0,0,1192.3740843040273
Jose Quinonez,1210.1685618496456,1247.1190662860126,5-4-0,0,1205.9953503491693
Aleksei Kunchenko,1209.8582885777469,1238.0254363480474,2-2-0,0,1274.0885031349756
Vinc Pichel,1209.8323207425426,1279.4323564325184,7-6-0,0,1223.479239596068
Manny Bermudez,1209.7138001275582,1244.7668710020264,3-2-0,0,1195.9259809490447
Terry Etim,1209.6957063516375,1247.6157267040933,6-5-0,0,1205.6707280395012
Paul Craig,1209.592688009046,1270.3775226885593,9-9-1,0,1227.5110267338011
Rinya Nakamura,1209.2146023311263,1244.3777159748136,3-2-0,0,1193.5833059540532
Clint Hester,1209.105016673623,1261.7442676448736,4-3-0,0,1210.9317997957694
Priscila Cachoeira,1209.0795578993027,1209.0795578993027,6-6-0,2,1199.454692224973
Marc Diakiese,1208.9007485561965,1244.6272623531347,8-7-0,1,1202.6842506305127
Steven Siler,1208.7619462207374,1260.0535265710555,5-4-0,0,1216.5635277798376
Tai Tuivasa,1208.695424355751,1283.344084710535,8-8-0,0,1248.0880797551506
Nick Diaz,1208.5236141002079,1246.3480397436726,7-7-0,0,1245.8776585688101
Jamahal Hill,1208.4847177037234,1285.7177412409321,6-6-0,0,1250.4222088623746
Lyman Good,1208.3932726998119,1222.3611892860486,3-3-0,0,1241.1197122665565
Tyson Pedro,1208.3279353284206,1231.3652052870902,6-5-0,0,1201.2679140573937
Song Kenan,1208.2785385863208,1242.5568989217065,6-5-0,0,1204.208192839632
Megan Anderson,1208.2649245354603,1217.8335614323535,3-3-0,0,1229.7300378685115
Felicia Spencer,1208.0961547643944,1217.2044021295121,3-3-0,1,1236.0893102987109
Matt Frevola,1208.014699053227,1238.2712921301204,5-5-1,0,1225.500217087558
Esteban Ribovics,1207.819925271958,1234.633816108051,3-3-0,0,1238.1871755901473
Ildemar Alcantara,1207.8101130421117,1230.6849540227504,4-3-0,0,1192.3377951828575
Chris Curtis,1207.6879472466164,1252.2034145710613,5-5-0,0,1249.79336346951
Liz Carmouche,1207.095223565699,1220.8377399861818,5-5-0,0,1209.6252148648027
Stefan Struve,1206.9853793849131,1288.6750389482447,13-11-0,0,1218.5888110468848
Tim Elliott,1206.934219884479,1216.0324216750626,9-11-0,1,1224.801150712249
Chris Daukaus,1206.7217858512927,1264.1310883875315,4-4-0,0,1252.471958972081
Chris Cariaso,1206.6942691902896,1253.836532031255,7-6-0,0,1209.3643013470187
Brandon Vera,1206.5726194709314,1261.7223590840727,8-7-0,0,1223.13020048011
Damon Jackson,1206.5001149490818,1253.1745818855245,6-6-1,0,1224.5331031394624
Viviane Araujo,1206.4500730098564,1245.9273716577422,7-7-0,0,1235.7895747169664
Amir Sadollah,1206.4137498395735,1245.5012223648912,6-5-0,0,1203.538239266393
Cung Le,1206.3214457203462,1219.3263792970752,2-2-0,0,1235.5460503281452
Calvin Kattar,1206.1927574256806,1274.559258074966,7-8-0,0,1272.9054155577685
Tatsuya Kawajiri,1206.1501986909664,1234.9610738888991,3-3-0,0,1237.7339111158196
Jalin Turner,1205.979300195211,1265.289126471229,7-7-0,0,1233.447045936127
Mauricio Rua,1205.9544305366194,1258.5015636520952,11-12-1,0,1248.2084802553966
Quang Le,1205.4789397387422,1205.4789397387422,2-2-0,2,1216.9543213175343
Marina Rodriguez,1205.3293418870685,1286.5349909881766,7-7-2,0,1242.1377427080263
Falaniko Vitale,1205.0457298118529,1219.3927596633373,1-1-0,0,1265.111453446391
Diego Nunes,1204.8365683039988,1219.2084252014945,3-3-0,0,1227.5268944841148
Zak Ottow,1204.7083754067803,1220.4631337312708,4-4-0,0,1222.8815146859192
Jean Matsumoto,1204.640947381567,1231.803108971902,2-2-0,0,1241.806481924075
Kevin Borjas,1204.5349148560451,1204.5349148560451,2-2-0,2,1209.9869088965677
Karolina Kowalkiewicz,1204.46919220998,1249.9742261280937,9-9-0,0,1223.6019666787424
Jimi Manuwa,1204.4307266675646,1267.960807304837,6-6-0,0,1244.5442174674522
Rogerio Nogueira,1204.2883726968998,1245.2574840594432,6-7-0,0,1256.8754526421135
Max Griffin,1204.1072992637858,1229.6270351192798,8-10-0,0,1243.8740877040464
Mike Pyle,1204.0975278254652,1279.08158709802,10-9-0,0,1219.159366569905
Ricardo Ramos,1204.0060141951747,1259.832793780281,8-7-0,0,1217.1152264732082
Charles Johnson,1203.907329198467,1236.2178609137288,6-6-0,0,1208.7694021290738
Gary Goodridge,1203.904222376706,1232.0,4-4-0,1,1218.7886753027942
Oumar Sy,1203.8711710826826,1231.8257755947839,2-2-0,0,1237.394623473655
Sultan Aliev,1203.70217929816,1203.70217929816,2-2-0,1,1213.7178251554835
Rich Clementi,1203.5885504137586,1235.883731139121,5-5-0,0,1205.4088389022581
Nate Landwehr,1203.5566584735127,1235.8274509605205,5-5-0,0,1218.8311879872654
Andre Fili,1203.5464826757666,1250.4752801116285,12-12-0,0,1222.5662139446283
Bruno Lopes,1203.471726747249,1217.3453009994678,2-2-0,0,1227.8032174728273
Alex Garcia,1203.4530020173709,1235.296760152714,5-5-0,0,1230.2336542026856
Wanderlei Silva,1203.4499728489416,1203.4499728489416,5-7-0,1,1254.533589276634
Antonio Carvalho,1203.370441687736,1217.3476425320732,2-2-0,0,1218.6873715232769
Siyar Bahadurzada,1203.3698191012707,1236.158712176559,4-4-0,0,1220.7939673809285
Gan McGee,1203.3684914020914,1218.6221813407014,2-2-0,0,1220.1374815871866
Waylon Lowe,1203.3595463511726,1217.28309150884,2-2-0,0,1219.3094875826562
Keith Hackney,1203.3063884197918,1231.263693206478,2-2-0,0,1234.397821399221
Alessandro Costa,1203.2162271963996,1203.2162271963996,2-2-0,1,1211.5624429426277
Buddy Roberts,1203.0926689778707,1216.0,1-1-0,0,1242.0060389671767
Bill Algeo,1203.0071777731305,1237.914916523266,5-5-0,0,1215.7426021861363
Dave Beneteau,1202.928059669483,1232.0,3-3-0,1,1219.1890124146732
Amaury Bitetti,1202.8318638301305,1202.8318638301305,1-1-0,1,1224.0
Gabriella Fernandes,1202.8135890087651,1202.8135890087651,2-2-0,2,1199.6731473835077
Adam Fugitt,1202.725639563303,1202.725639563303,2-2-0,1,1208.1297379980956
Shinsho Anzai,1202.7182067775268,1217.3791347082124,2-2-0,0,1215.3068868456508
Chance Rencountre,1202.6894179341302,1219.3143985314168,2-2-0,0,1216.5395434850957
Carlston Harris,1202.676831704216,1247.8581746481213,4-4-0,0,1231.1895124986968
Mike van Arsdale,1202.63117776216,1231.263693206478,2-2-0,0,1230.6993147010935
Albert Duraev,1202.5667245138243,1216.7295636402966,2-2-0,0,1222.0022123282085
Marcio Cruz,1202.5475560154728,1234.6529512313164,2-2-0,0,1230.9129457484053
TJ Waldburger,1202.530447967234,1233.2892498366273,4-4-0,0,1223.8527222739535
Mounir Lazzez,1202.2244308652052,1219.1032841383874,2-2-0,0,1222.2671074527082
Bruno Bulldog,1202.0721484045023,1202.0721484045023,2-2-0,2,1196.9472613587045
Javid Basharat,1202.057045569448,1247.255070354229,3-3-0,0,1229.6923797819159
Mike Wilkinson,1202.049706718085,1217.4767241990912,2-2-0,0,1219.687490636673
Antoni Hardonk,1201.9961098717167,1234.0760526396423,4-4-0,0,1214.789998893131
Clayton Carpenter,1201.975491966309,1230.624289590109,2-2-0,0,1226.173590655656
Tony Kelley,1201.9720864011645,1215.9222710691872,2-2-0,0,1210.7401392488991
Thomas Petersen,1201.9144417579548,1202.280017725446,3-3-0,1,1200.743215312942
Bogdan Grad,1201.6746273612684,1215.2360086969177,2-2-0,0,1216.937553558084
Joe Charles,1201.5775334688637,1216.8778547030452,2-2-0,0,1216.8256757201113
Travis Fulton,1201.5741217348293,1201.5741217348293,1-1-0,1,1209.544259627011
Brian Melancon,1201.48590712448,1217.5576385500028,1-1-0,0,1224.9655788545087
Ryan Janes,1201.4798416644605,1216.0,2-2-0,1,1208.06123830698
Jonathan Meunier,1201.4795021396997,1201.4795021396997,1-1-0,1,1208.8563049036184
Nick Thompson,1201.4756880392658,1216.0,1-1-0,0,1224.0677430233118
Jason Saggo,1201.4641552788926,1231.4046221650556,3-3-0,0,1218.4662738275424
Victor Hugo,1201.4630070868254,1216.0,1-1-0,0,1223.9288903062586
Geza Kalman,1201.4387739660467,1201.4387739660467,1-1-0,1,1208.0
Dwayne Cason,1201.3708733874282,1216.0,1-1-0,0,1222.9206512299766
Miguel Torres,1201.3702991605296,1216.0,2-2-0,0,1215.4504864402086
Hunter Azure,1201.3623417904973,1216.7928242058817,2-2-0,0,1215.9538606330216
Jutaro Nakao,1201.3358416109802,1217.4358728782763,1-1-0,0,1223.263693206478
Abubakar Nurmagomedov,1201.2791751318102,1214.1645154740836,2-2-0,0,1206.0825327671662
Chris Kelades,1201.1859407239244,1216.7362899927205,2-2-0,0,1214.783855486999
Hector Sandoval,1201.1362590145216,1217.8921490199887,2-2-0,0,1207.7096253161849
Dan Christison,1201.1080391989833,1215.263693206478,1-1-0,0,1219.7459858680725
Erik Koch,1201.0805098213555,1232.0,5-5-0,1,1210.7752142081183
Pascal Krauss,1201.0765041325599,1217.0945606990804,2-2-0,0,1214.6428789479419
Melsik Baghdasaryan,1201.055847966167,1231.263693206478,3-3-0,0,1221.4438975030582
Benito Lopez,1201.0478133715364,1216.2309274155364,2-2-0,0,1213.6610469501
Brianna Fortino,1200.963068769007,1217.376067899943,1-1-0,0,1219.1804251851145
Justin McCully,1200.958728476805,1217.7766603095404,2-2-0,0,1214.1394482251308
Paul Buentello,1200.9462709718475,1232.7671901008116,3-3-0,0,1222.6322230820867
Nick Catone,1200.9196158222453,1216.0342401031749,4-4-0,1,1202.6921316750227
Montserrat Conejo,1200.854052007176,1216.0,1-1-0,0,1217.2815736934162
Joe Moreira,1200.8003128565165,1200.8003128565165,1-1-0,1,1200.7284150833748
John Lewis,1200.7844376663313,1216.0,1-1-0,0,1216.52375759622
Tai Bowden,1200.736306793522,1200.736306793522,1-1-0,1,1200.0
Tereza Bleda,1200.7329752030234,1200.7329752030234,1-1-0,1,1200.3496753375523
Hamdy Abdelwahab,1200.7087786033558,1216.6977499116658,2-2-0,0,1210.2830188968153
Benji Radach,1200.7070648447752,1216.0,1-1-0,0,1205.121241491258
Lance Gibson,1200.7024671725246,1216.0,1-1-0,0,1215.631846603239
Nick Sanzo,1200.7024671725246,1216.0,1-1-0,0,1215.631846603239
Ode Osbourne,1200.6691954641663,1214.4165990056138,6-6-0,2,1194.7571651596222
Dan Cramer,1200.6690663356644,1215.9660918698307,1-1-0,0,1215.2522576535632
Junie Browning,1200.6424380523772,1216.0,1-1-0,0,1214.9789346524408
Eddie Yagin,1200.632420021853,1200.632420021853,1-1-0,1,1198.5304730149578
Jose Torres,1200.6126943983882,1215.9704443816624,1-1-0,0,1214.641215562507
Jesus Pinedo,1200.5943427498335,1215.3032564222985,1-1-0,0,1214.13037978671
Lance Benoist,1200.5662950431174,1217.8298640304743,2-2-0,1,1204.5239009709219
Galore Bofando,1200.5584034209348,1215.263693206478,1-1-0,0,1213.719787055828
Noad Lahat,1200.5376272970582,1216.5635811451655,2-2-0,0,1202.8845537800735
Nicco Montano,1200.5250225059624,1215.263693206478,1-1-0,0,1213.355031019627
Dennis Hallman,1200.5067662581453,1217.405253111939,4-5-0,1,1228.421862100592
Joe Solecki,1200.4872258688104,1261.3196690952107,5-5-0,0,1234.9884998698294
Lavar Johnson,1200.3847985073073,1231.2699114005948,2-2-0,0,1218.026995046957
John Gunther,1200.2550996556026,1216.0,1-1-0,0,1210.7699440438826
Timmy Cuamba,1200.1753894852907,1200.1753894852907,2-2-0,2,1185.21353292316
Xiao Long,1200.1518290955685,1200.1518290955685,1-1-0,1,1193.6485129424377
Jarred Brooks,1200.1508328901261,1215.263693206478,2-2-0,1,1200.3215653017858
